ts,o,h,l,c,v
1709251200000,399.3,404.3,398.8,404.3,30860.006
1709254800000,404.3,405.3,402.1,405.3,31914.348
1709258400000,405.3,405.9,403.0,405.4,30701.966
1709262000000,405.4,406.6,404.3,405.6,32876.862
1709265600000,405.6,407.2,405.5,406.9,23264.801
1709269200000,406.9,407.7,405.3,405.6,29291.556
1709272800000,405.7,406.9,404.4,405.0,19522.966
1709276400000,405.1,406.4,402.4,403.6,33795.179
1709280000000,403.6,407.6,402.6,407.4,33181.686
1709283600000,407.4,408.5,407.0,408.4,25671.418
1709287200000,408.4,408.4,406.4,407.3,20725.609
1709290800000,407.4,408.0,404.8,406.2,20649.267
1709294400000,406.2,407.9,405.8,406.1,19893.888
1709298000000,406.1,408.6,406.0,407.9,22718.647
1709301600000,407.9,408.0,403.5,405.5,36399.338
1709305200000,405.6,406.0,402.3,403.0,36870.128
1709308800000,403.0,404.7,402.5,403.1,22301.907
1709312400000,403.2,406.5,403.1,406.0,18258.008
1709316000000,406.0,407.2,405.0,406.5,16866.638
1709319600000,406.6,407.0,406.0,406.3,11595.059
1709323200000,406.4,408.0,405.8,407.9,14644.765
1709326800000,407.9,408.0,406.3,407.1,12809.446
1709330400000,407.1,407.9,405.6,406.3,15454.601
1709334000000,406.3,408.5,406.0,407.4,26312.522
1709337600000,407.4,410.0,406.7,409.4,33808.783
1709341200000,409.4,409.8,405.8,408.6,39707.092
1709344800000,408.6,409.8,407.6,408.9,25295.173
1709348400000,408.9,413.8,408.3,413.7,38706.886
1709352000000,413.7,414.8,410.3,410.3,44786.496
1709355600000,410.4,411.6,408.0,409.5,32579.983
1709359200000,409.5,411.3,408.7,409.0,22070.445
1709362800000,409.0,410.0,407.3,409.3,25914.374
1709366400000,409.4,410.4,407.4,408.9,29241.976
1709370000000,409.0,409.9,406.0,407.8,30860.203
1709373600000,407.8,409.2,407.3,407.8,14971.498
1709377200000,407.8,408.9,407.6,407.8,16113.26
1709380800000,407.9,411.1,407.6,411.1,19566.882
1709384400000,411.1,411.5,409.1,410.4,22946.794
1709388000000,410.4,410.5,406.7,409.3,42094.346
1709391600000,409.3,409.7,407.5,407.7,25341.469
1709395200000,407.8,409.1,406.4,407.7,29865.088
1709398800000,407.8,408.8,407.3,407.7,13805.17
1709402400000,407.7,409.4,407.6,409.1,20218.832
1709406000000,409.1,409.8,408.3,409.6,12396.395
1709409600000,409.7,410.0,407.2,408.3,18333.26
1709413200000,408.4,409.4,408.3,409.0,8319.444
1709416800000,408.9,409.7,408.3,408.9,9690.075
1709420400000,409.0,411.0,408.8,410.9,13384.619
1709424000000,410.9,411.7,409.3,410.7,26051.289
1709427600000,410.7,410.9,409.2,410.5,24240.467
1709431200000,410.6,411.0,408.5,409.9,16998.422
1709434800000,410.0,410.8,409.5,410.5,13347.772
1709438400000,410.5,412.7,410.2,412.7,18574.65
1709442000000,412.7,413.4,410.4,410.6,30341.081
1709445600000,410.6,412.0,408.8,410.9,31553.527
1709449200000,410.9,411.2,402.2,406.9,100570.41
1709452800000,407.0,409.3,404.3,407.8,73909.49
1709456400000,407.8,412.9,407.5,412.3,63633.709
1709460000000,412.2,412.7,411.0,412.0,52246.032
1709463600000,412.0,413.5,411.4,413.4,30296.923
1709467200000,413.3,415.3,412.2,413.2,59216.411
1709470800000,413.2,414.3,411.3,412.9,29660.844
1709474400000,413.0,414.7,412.3,413.1,35985.939
1709478000000,413.2,414.5,413.1,413.3,23586.926
1709481600000,413.4,416.1,412.9,415.7,46320.311
1709485200000,415.8,416.5,413.8,414.5,40762.066
1709488800000,414.6,414.7,412.9,414.0,15489.36
1709492400000,414.1,414.4,412.9,413.3,20407.167
1709496000000,413.4,415.3,413.1,414.3,19502.652
1709499600000,414.3,416.4,414.3,415.7,18892.865
1709503200000,415.8,416.8,413.7,415.0,26367.866
1709506800000,415.1,415.2,413.3,414.5,20318.167
1709510400000,414.5,417.3,411.5,415.5,60741.509
1709514000000,415.6,416.7,413.8,415.6,35826.133
1709517600000,415.7,415.7,413.5,414.5,29161.23
1709521200000,414.4,415.2,414.2,414.4,29972.315
1709524800000,414.5,415.2,414.2,415.1,16571.416
1709528400000,415.2,415.6,414.2,414.2,16529.574
1709532000000,414.2,415.4,414.1,415.3,18919.355
1709535600000,415.3,417.7,414.8,417.0,27075.563
1709539200000,417.1,423.8,417.0,422.3,76859.25
1709542800000,422.3,423.0,419.0,421.4,59953.212
1709546400000,421.5,421.5,417.0,418.3,52945.1
1709550000000,418.3,419.5,415.5,417.4,36309.784
1709553600000,417.4,419.5,416.9,418.8,26836.866
1709557200000,418.9,420.2,415.7,416.4,46031.545
1709560800000,416.5,418.0,415.0,417.7,84739.184
1709564400000,417.6,419.6,417.1,418.9,51674.913
1709568000000,418.9,419.3,416.5,416.5,50330.368
1709571600000,416.6,418.9,412.9,412.9,80787.6
1709575200000,413.0,416.1,410.6,416.1,74889.794
1709578800000,416.1,416.5,413.5,416.0,32011.402
1709582400000,416.1,416.8,414.3,415.3,24382.989
1709586000000,415.3,417.0,414.0,417.0,25222.633
1709589600000,417.0,419.2,416.2,419.0,28702.651
1709593200000,419.1,421.3,417.2,418.4,58939.615
1709596800000,418.5,422.5,418.0,420.3,65063.158
1709600400000,420.4,421.8,419.4,419.8,51338.313
1709604000000,419.8,420.4,415.4,418.9,64486.752
1709607600000,418.9,421.0,417.7,420.3,43132.215
1709611200000,420.4,427.2,419.7,423.6,114054.781
1709614800000,423.6,425.0,416.5,423.4,129814.835
1709618400000,423.4,424.3,420.7,421.5,49397.106
1709622000000,421.6,422.2,417.7,418.2,53297.94
1709625600000,418.2,419.5,416.1,418.8,54232.13
1709629200000,418.9,419.6,417.4,417.8,28920.476
1709632800000,417.8,420.7,417.7,420.0,39586.692
1709636400000,420.1,420.5,417.7,418.6,26812.489
1709640000000,418.7,420.5,418.6,420.5,28984.771
1709643600000,420.5,422.3,419.7,420.1,44480.33
1709647200000,420.1,420.6,417.1,418.4,80878.201
1709650800000,418.4,421.1,413.8,416.0,140412.02
1709654400000,416.1,417.0,404.0,408.1,185242.675
1709658000000,408.2,408.4,399.0,407.7,140030.604
1709661600000,407.7,407.7,401.7,403.6,62436.116
1709665200000,403.6,405.3,356.1,376.8,217915.77
1709668800000,376.8,386.3,372.5,379.2,230438.631
1709672400000,379.1,393.1,379.0,390.3,105556.781
1709676000000,390.4,392.2,385.5,392.0,61231.871
1709679600000,392.1,396.7,391.3,394.1,55559.133
1709683200000,394.1,396.9,391.9,392.2,49237.148
1709686800000,392.3,394.7,389.2,390.1,36132.514
1709690400000,390.1,391.1,385.6,385.7,49741.792
1709694000000,385.7,391.6,385.6,391.2,45246.537
1709697600000,391.3,403.7,391.2,403.5,66071.018
1709701200000,403.5,405.3,399.7,405.1,89941.755
1709704800000,405.1,406.0,401.8,403.6,60597.526
1709708400000,403.6,411.7,401.8,410.5,77699.501
1709712000000,410.6,415.4,410.2,412.5,83589.356
1709715600000,412.6,413.4,407.4,407.6,64804.266
1709719200000,407.7,432.5,407.6,432.5,310164.353
1709722800000,432.4,434.7,425.9,426.2,148976.911
1709726400000,426.2,429.1,414.4,419.9,136383.071
1709730000000,420.0,423.9,418.4,422.1,96037.016
1709733600000,422.2,424.8,416.6,417.6,86478.735
1709737200000,417.7,420.6,413.5,419.9,84416.342
