ts,o,h,l,c,v
1746054000000,599.2,600.3,598.8,599.6,159.978958
1746057600000,599.6,600.9,599.6,600.6,81.414558
1746061200000,600.7,602.4,600.6,601.4,230.096248
1746064800000,601.6,602.5,599.9,600.3,448.606624
1746068400000,600.3,601.7,599.1,599.3,828.109812
1746072000000,599.3,600.8,598.7,600.7,454.146985
1746075600000,600.8,601.4,600.1,600.9,363.693021
1746079200000,600.9,601.4,598.9,599.5,512.353261
1746082800000,599.4,600.5,599.2,599.7,186.74242
1746086400000,599.7,601.8,599.7,601.6,347.881628
1746090000000,601.5,604.5,601.1,603.4,642.768095
1746093600000,603.3,605.6,602.5,604.2,372.331858
1746097200000,604.4,604.9,602.8,604.0,242.670971
1746100800000,604.0,604.4,603.2,603.6,134.607482
1746104400000,603.7,605.4,601.4,601.4,498.444162
1746108000000,601.4,605.0,601.3,604.6,782.582916
1746111600000,604.7,605.1,602.7,602.9,455.440558
1746115200000,602.9,604.1,602.5,602.7,314.20508
1746118800000,602.7,603.5,600.5,601.2,359.951189
1746122400000,601.2,602.0,600.6,601.6,147.075024
1746126000000,601.5,601.5,600.3,600.7,94.026392
1746129600000,600.6,600.9,599.9,600.1,145.782929
1746133200000,600.2,601.0,599.3,600.2,318.174815
1746136800000,600.2,600.2,598.7,599.1,161.208713
1746140400000,599.3,600.4,598.1,599.8,200.758433
1746144000000,599.8,601.6,599.0,601.5,177.091384
1746147600000,601.6,602.9,600.8,601.5,313.068106
1746151200000,601.2,603.3,601.0,602.6,164.961805
1746154800000,602.6,603.8,601.3,601.3,189.202512
1746158400000,601.4,602.1,599.3,599.7,483.684468
1746162000000,599.8,600.7,598.3,598.8,640.117062
1746165600000,598.7,598.8,596.2,597.3,1160.721317
1746169200000,597.2,597.4,595.3,595.5,1120.501324
1746172800000,595.5,598.0,595.3,597.5,282.017495
1746176400000,597.5,598.8,597.2,598.1,204.481266
1746180000000,598.1,599.6,598.0,598.9,123.391569
1746183600000,599.0,600.7,597.7,598.0,631.375793
1746187200000,597.9,599.1,596.5,599.1,445.459159
1746190800000,599.1,599.4,597.8,598.4,209.915421
1746194400000,598.5,600.7,598.4,600.3,351.982871
1746198000000,600.4,600.8,598.1,599.7,335.080482
1746201600000,599.7,601.8,599.5,600.2,534.447812
1746205200000,600.2,600.7,599.1,600.1,102.994136
1746208800000,600.1,600.6,599.5,599.7,76.979127
1746212400000,599.8,599.8,598.4,599.0,45.631761
1746216000000,598.8,600.3,598.3,600.3,77.671468
1746219600000,600.1,600.7,599.1,599.5,155.798031
1746223200000,599.7,601.6,599.1,601.6,385.827177
1746226800000,601.5,601.8,600.6,600.8,265.674351
1746230400000,600.9,601.4,599.1,599.5,127.638398
1746234000000,599.4,599.7,598.0,598.3,123.372488
1746237600000,598.4,600.1,598.4,599.8,200.247761
1746241200000,599.8,600.2,598.8,599.2,171.286907
1746244800000,599.3,600.2,599.3,600.0,57.489518
1746248400000,600.1,600.2,599.4,600.0,156.283919
1746252000000,600.1,600.1,598.2,598.8,288.94509
1746255600000,598.7,598.7,597.4,597.5,372.333171
1746259200000,597.5,597.7,596.2,597.0,253.495001
1746262800000,597.1,597.1,596.0,596.4,113.683272
1746266400000,596.5,596.6,595.2,595.2,349.843468
1746270000000,595.2,597.0,595.1,596.3,309.374654
1746273600000,596.3,597.8,596.3,597.2,359.331897
1746277200000,597.2,598.8,597.2,597.9,136.760973
1746280800000,598.0,598.7,597.4,598.0,286.114962
1746284400000,598.2,599.1,598.2,598.8,168.106927
1746288000000,598.8,599.4,597.4,598.5,227.27414
1746291600000,598.6,599.3,596.1,599.3,309.494306
1746295200000,599.2,599.8,598.0,598.4,112.039935
1746298800000,598.3,599.9,597.9,599.9,75.168349
1746302400000,599.9,600.0,598.9,599.4,88.772052
1746306000000,599.5,599.8,598.2,598.6,220.562189
1746309600000,598.7,599.8,598.4,599.4,141.788888
1746313200000,599.4,599.9,598.5,599.3,135.426443
1746316800000,599.3,600.4,599.0,599.8,215.382042
1746320400000,599.9,600.3,598.7,599.6,71.71161
1746324000000,599.7,600.5,598.6,598.9,196.121111
1746327600000,598.9,600.2,598.2,599.7,196.089243
1746331200000,599.7,600.2,597.6,597.8,364.760637
1746334800000,597.9,599.5,597.1,597.6,253.35807
1746338400000,597.6,597.9,596.6,597.3,158.992661
1746342000000,597.3,597.7,596.4,597.0,116.776355
1746345600000,597.1,597.1,594.9,595.3,585.247847
