ts,o,h,l,c,v
1746054000000,94116.0,94340.3,93981.8,94163.1,137.68102972
1746057600000,94163.1,94406.3,94125.5,94401.3,134.19263257
1746061200000,94401.3,94711.0,94380.8,94641.3,196.1370935
1746064800000,94641.3,94970.0,94608.1,94839.4,389.02011314
1746068400000,94840.0,95000.0,94676.4,94779.9,304.49603686
1746072000000,94780.0,94924.0,94702.8,94869.4,93.20389254
1746075600000,94869.5,95180.0,94832.0,95141.8,318.64981226
1746079200000,95141.7,95179.4,94791.7,94877.2,233.94494943
1746082800000,94877.2,95098.0,94782.8,95007.5,108.97094372
1746086400000,95007.6,95207.9,94900.0,95197.1,232.77067785
1746090000000,95197.1,95806.6,95126.0,95517.7,580.74818178
1746093600000,95517.3,96394.0,95517.3,96171.9,714.44407004
1746097200000,96171.9,96261.9,95831.3,96183.5,202.8173743
1746100800000,96183.5,96504.3,96111.0,96376.1,1023.14119792
1746104400000,96376.1,96732.9,95800.0,95810.9,583.05566867
1746108000000,95810.9,96933.0,95810.9,96835.2,624.80513388
1746111600000,96830.0,97426.0,96749.3,96849.8,823.58152361
1746115200000,96849.9,97365.2,96849.9,97007.9,273.9465978
1746118800000,97008.0,97232.7,96518.0,96814.6,906.44145806
1746122400000,96814.7,96986.8,96410.0,96875.2,798.93637886
1746126000000,96875.3,96900.0,96402.6,96555.4,764.52966595
1746129600000,96550.0,96894.7,96318.2,96414.8,349.98865423
1746133200000,96414.8,96785.0,96395.6,96475.7,95.99495192
1746136800000,96476.5,96658.0,96368.1,96384.9,109.80897962
1746140400000,96386.5,96519.9,96188.0,96488.2,96.74158261
1746144000000,96488.0,97065.6,96468.0,97041.8,239.68501839
1746147600000,97041.8,97188.8,96767.1,96971.9,243.39152489
1746151200000,96971.8,97059.5,96727.2,96954.0,93.87830635
1746154800000,96955.8,97240.0,96955.8,97109.9,166.81600201
1746158400000,97110.0,97300.0,96880.0,96940.1,183.99217602
1746162000000,96940.0,97000.0,96628.0,96708.8,107.23031275
1746165600000,96705.8,96896.1,96552.2,96719.9,148.98095678
1746169200000,96719.9,96737.9,96315.8,96362.4,1294.85747601
1746172800000,96362.3,96781.0,96353.9,96641.2,1075.15045498
1746176400000,96641.2,96789.5,96467.5,96614.0,81.98675491
1746180000000,96614.0,96939.9,96604.0,96900.0,129.76308347
1746183600000,96900.0,97100.0,96881.6,96933.3,335.40173056
1746187200000,96933.3,97211.7,96650.0,97195.9,454.33592121
1746190800000,97196.0,97269.1,96674.9,96774.0,262.91441495
1746194400000,96774.0,97896.0,96702.1,97746.1,795.74566264
1746198000000,97746.1,97890.0,97058.1,97331.1,357.2916192
1746201600000,97331.1,97799.9,97330.1,97351.8,309.08969709
1746205200000,97351.9,97432.3,97029.8,97396.1,206.64836856
1746208800000,97396.2,97613.3,97146.0,97178.6,282.40989762
1746212400000,97178.5,97187.5,96756.0,96919.8,295.50261925
1746216000000,96920.0,97140.0,96836.5,97018.1,103.32912947
1746219600000,97018.1,97043.6,96555.2,96718.1,90.17430181
1746223200000,96718.1,96797.2,96571.0,96654.7,117.48362423
1746226800000,96654.7,96905.2,96600.0,96891.6,92.09571106
1746230400000,96891.7,96929.3,96626.1,96702.0,123.9983664
1746234000000,96702.1,96729.9,96435.2,96505.3,176.72869864
1746237600000,96508.0,96710.5,96492.1,96524.1,261.0455784
1746241200000,96524.0,96543.1,96303.7,96336.0,355.3297933
1746244800000,96336.0,96591.5,96308.0,96519.4,59.40805898
1746248400000,96519.5,96600.0,96400.0,96420.0,75.23141319
1746252000000,96420.0,96420.1,96123.0,96179.9,172.01135964
1746255600000,96180.0,96399.9,96149.8,96328.0,190.40395152
1746259200000,96328.0,96444.3,96131.3,96302.0,771.25235789
1746262800000,96302.1,96418.2,96200.0,96260.5,59.02941652
1746266400000,96260.1,96260.1,95850.0,95916.1,316.06402937
1746270000000,95916.1,96099.9,95874.3,95944.0,122.58062477
1746273600000,95944.1,96182.7,95892.0,96135.9,128.65328671
1746277200000,96136.0,96346.0,96108.2,96344.0,75.84486014
1746280800000,96343.9,96460.2,96291.0,96381.9,84.68017567
1746284400000,96381.9,96514.0,96326.1,96428.0,301.91640067
1746288000000,96428.0,96434.2,96065.2,96215.1,144.62114113
1746291600000,96215.0,96215.0,95875.7,96198.1,106.6189678
1746295200000,96198.1,96279.9,96105.0,96155.0,41.78141341
1746298800000,96155.1,96366.6,96131.2,96359.9,45.55481724
1746302400000,96360.0,96402.2,96285.7,96350.9,50.91637604
1746306000000,96351.0,96448.0,96250.0,96278.7,85.72808074
1746309600000,96278.8,96367.7,96168.2,96180.6,89.74427165
1746313200000,96180.6,96186.0,95751.6,95861.6,209.22216027
1746316800000,95860.1,96055.0,95774.5,95873.9,89.66537197
1746320400000,95873.9,96184.0,95600.0,96099.9,360.00348302
1746324000000,96100.0,96299.9,95808.0,95884.3,268.74741605
1746327600000,95884.3,95903.7,95666.6,95736.0,158.77595779
1746331200000,95736.0,95945.9,95735.0,95738.1,84.12689485
1746334800000,95738.2,96145.4,95700.0,96048.0,115.57897057
1746338400000,96048.1,96148.0,95867.8,95915.9,102.97156726
1746342000000,95916.0,96089.3,95812.6,95895.3,81.46689266
1746345600000,95895.3,95939.3,95425.8,95650.0,277.32047311
1746349200000,95650.0,95696.9,95440.1,95495.9,105.21060634
1746352800000,95496.0,95537.9,95294.2,95398.0,187.65897394
1746356400000,95398.0,95567.0,95361.9,95430.0,78.18590671
1746360000000,95430.0,95600.0,95418.1,95477.9,78.16378605
1746363600000,95478.0,95613.3,95234.0,95386.7,138.38905756
1746367200000,95389.5,95649.2,95335.3,95604.9,85.24163939
1746370800000,95604.8,95696.9,95418.1,95467.6,110.68649933
1746374400000,95467.6,95570.7,95294.0,95347.2,75.2542982
1746378000000,95347.2,95484.1,95242.5,95409.5,71.94453515
1746381600000,95409.5,95491.9,95353.7,95376.0,62.4687443
1746385200000,95376.1,95640.4,95338.0,95583.3,62.45723959
1746388800000,95584.0,95730.7,95564.1,95712.7,96.17796984
1746392400000,95712.6,95760.4,95616.7,95671.2,70.8072886
1746396000000,95671.3,95684.5,94729.4,95012.5,666.39119525
1746399600000,95012.5,95032.1,94123.2,94273.7,821.68971008
1746403200000,94273.8,94800.0,94200.0,94714.1,197.41548402
1746406800000,94714.1,94757.1,93701.1,93923.4,911.78065835
1746410400000,93923.4,94393.9,93489.1,94241.9,416.32043808
1746414000000,94242.0,94303.4,94016.0,94044.0,166.8823024
1746417600000,94044.1,94451.2,94017.6,94417.9,173.13025407
1746421200000,94418.3,94771.9,94234.0,94741.5,232.33615134
1746424800000,94744.0,94790.0,94568.0,94766.9,156.14463478
1746428400000,94766.9,94825.6,94536.1,94759.9,185.49299085
1746432000000,94760.0,94796.0,94500.4,94567.8,164.06687892
1746435600000,94567.9,94654.0,94490.0,94566.9,93.76957947
1746439200000,94567.0,94575.4,94062.8,94126.0,250.71003384
1746442800000,94126.1,94287.4,93900.1,94046.0,228.91664496
1746446400000,94046.1,94354.0,93917.3,94339.9,142.03077148
1746450000000,94339.9,94415.6,93647.0,94233.2,364.41474512
1746453600000,94233.2,94550.0,93732.9,93887.9,349.16363239
1746457200000,93887.9,93981.3,93614.1,93782.8,209.88054624
1746460800000,93782.9,94291.6,93766.0,94216.0,150.21910157
1746464400000,94216.1,94634.0,94070.0,94511.4,164.70698418
1746468000000,94511.5,94916.8,94444.7,94733.1,138.56130724
1746471600000,94733.2,94906.6,94286.8,94351.0,108.14526356
1746475200000,94350.0,94370.0,93873.5,94254.0,267.07994326
1746478800000,94254.0,94843.5,94242.0,94725.9,125.45496064
1746482400000,94725.9,95217.5,94717.9,95049.9,347.2365887
1746486000000,95049.9,95138.0,94699.9,94737.3,246.06656906
1746489600000,94737.3,94786.0,94430.0,94606.3,105.67427619
1746493200000,94606.3,94935.0,94300.1,94306.0,197.82526633
1746496800000,94306.0,94404.9,94018.0,94341.4,161.63854538
1746500400000,94341.4,94518.0,94219.6,94466.4,115.69765329
1746504000000,94466.5,94589.0,94343.3,94579.8,75.87726363
1746507600000,94579.9,94610.0,94305.9,94341.9,155.9005176
1746511200000,94342.0,94498.0,94328.7,94498.0,69.31735194
1746514800000,94498.0,94636.0,94350.1,94390.0,132.50737481
1746518400000,94392.0,94400.0,94000.0,94379.9,352.90277553
1746522000000,94379.9,94381.9,94112.1,94223.4,102.8470026
1746525600000,94223.5,94338.2,93864.1,93953.2,255.45510962
1746529200000,93953.2,94069.0,93720.1,93814.0,127.92129722
1746532800000,93814.1,94052.0,93770.0,93953.7,162.41979367
1746536400000,93953.8,94021.9,93390.1,93615.4,484.01010763
1746540000000,93612.8,94695.6,93610.5,94151.9,734.07995402
1746543600000,94151.5,94737.9,94073.4,94567.9,442.09855558
1746547200000,94568.0,94820.5,94214.5,94238.0,310.05388549
1746550800000,94238.1,94861.2,94238.0,94522.1,243.02129155
1746554400000,94522.0,95100.2,94501.9,95075.2,261.35706618
1746558000000,95075.3,95170.0,94916.6,94972.1,358.85406617
1746561600000,94972.0,95026.0,94628.0,94678.0,162.92901521
1746565200000,94678.1,94802.0,94454.1,94696.0,60.13917873
1746568800000,94695.9,96287.5,94680.4,96246.1,1373.67473126
1746572400000,96246.1,96900.0,96089.3,96833.9,610.25916566
1746576000000,96834.0,97500.0,96741.7,97418.1,875.00726243
1746579600000,97418.0,97731.8,97176.9,97241.9,442.08371755
1746583200000,97242.0,97278.0,96483.3,96634.0,534.37826632
1746586800000,96634.0,96676.0,96213.3,96517.4,286.73985053
1746590400000,96517.5,96718.8,96424.2,96586.0,100.47365479
1746594000000,96586.0,96586.0,96324.0,96390.0,177.64117903
1746597600000,96390.0,96666.6,96362.2,96570.0,150.13344487
1746601200000,96569.9,97009.6,96555.2,96988.0,162.89684191
1746604800000,96988.0,97083.0,96857.1,97018.4,162.78824249
1746608400000,97018.1,97057.9,96868.0,96974.8,168.80778978
1746612000000,96974.8,97118.0,96830.0,97018.1,162.15026368
1746615600000,97018.1,97070.4,96926.0,97053.0,96.84137108
1746619200000,97053.0,97197.3,96864.1,96972.4,158.28239272
1746622800000,96972.4,97311.2,96715.2,97017.1,319.46164044
1746626400000,97017.2,97497.8,96804.0,96935.3,446.11063203
1746630000000,96934.4,97164.7,96764.0,96937.0,132.16565694
1746633600000,96937.0,96959.3,96518.0,96856.1,155.08174322
1746637200000,96856.0,96892.5,96199.1,96319.9,267.84641838
1746640800000,96316.6,96875.0,95894.0,96596.0,518.54982711
1746644400000,96596.0,96625.0,95788.9,96186.1,384.90389907
