ts,o,h,l,c,v
1746054000000,0.17243,0.173,0.17222,0.17226,6240775.554576
1746057600000,0.17227,0.17359,0.17208,0.17305,6928266.610612
1746061200000,0.17306,0.17453,0.17306,0.17435,11046254.949657
1746064800000,0.17443,0.17544,0.17405,0.17435,19503921.755212
1746068400000,0.17436,0.17517,0.17387,0.17407,14941972.262762
1746072000000,0.17408,0.17443,0.17364,0.17432,4972246.039713
1746075600000,0.17435,0.17555,0.17426,0.17532,14064658.602806
1746079200000,0.17528,0.17545,0.17434,0.17485,8444453.597303
1746082800000,0.17484,0.17554,0.17454,0.17531,7268494.538849
1746086400000,0.17529,0.1765,0.17502,0.17616,16832430.446439
1746090000000,0.17618,0.17757,0.17574,0.17691,15619792.139718
1746093600000,0.17689,0.17945,0.17682,0.17862,41230478.903469
1746097200000,0.1786,0.17957,0.17796,0.17937,39169167.333189
1746100800000,0.17936,0.17988,0.1786,0.17895,23021474.051832
1746104400000,0.17896,0.17935,0.1768,0.17689,37436054.090637
1746108000000,0.17688,0.18178,0.17688,0.1814,43355105.580542
1746111600000,0.1815,0.18256,0.18028,0.18064,47327230.599108
1746115200000,0.18063,0.183,0.18063,0.18183,20171915.555819
1746118800000,0.18184,0.18337,0.18137,0.18195,21762764.259595
1746122400000,0.18194,0.18213,0.1807,0.182,15624566.441662
1746126000000,0.18203,0.18206,0.18046,0.18065,13177995.417176
1746129600000,0.18066,0.18113,0.18002,0.18054,13878911.854791
1746133200000,0.18053,0.18231,0.18052,0.18136,8263694.215011
1746136800000,0.18137,0.18245,0.1812,0.1816,9934543.087664
1746140400000,0.1816,0.18179,0.18032,0.18065,10453494.965438
1746144000000,0.18063,0.18255,0.17979,0.18175,25812957.362244
1746147600000,0.18178,0.18279,0.1808,0.18146,15111319.109932
1746151200000,0.18147,0.18421,0.18083,0.18364,22038461.439526
1746154800000,0.18365,0.1845,0.18244,0.18246,14321029.129726
1746158400000,0.18247,0.18298,0.18069,0.18112,14053262.66989
1746162000000,0.18113,0.18145,0.18002,0.18022,22468349.39745
1746165600000,0.18021,0.18096,0.17976,0.1804,13085940.712943
1746169200000,0.18041,0.1807,0.17916,0.17931,12507845.549702
1746172800000,0.17934,0.18058,0.17925,0.18033,7028305.462803
1746176400000,0.18032,0.18077,0.17985,0.18005,5980977.745424
1746180000000,0.18008,0.18078,0.18,0.18054,7897092.004097
1746183600000,0.18055,0.18169,0.18055,0.1809,11036968.222194
1746187200000,0.18093,0.18228,0.18003,0.18201,23172713.460264
1746190800000,0.18201,0.1822,0.18092,0.18103,12734419.166738
1746194400000,0.18105,0.1829,0.1809,0.18245,20037526.152433
1746198000000,0.18246,0.18261,0.1802,0.18146,15740798.108275
1746201600000,0.1815,0.18414,0.1815,0.1824,25035113.356091
1746205200000,0.18241,0.18253,0.18117,0.18138,9309653.645752
1746208800000,0.1814,0.18197,0.1806,0.1808,12702266.521464
1746212400000,0.1808,0.1808,0.17956,0.18007,7529282.17168
1746216000000,0.18005,0.1814,0.17982,0.18139,7409548.622702
1746219600000,0.18139,0.18242,0.18056,0.1809,9166403.926205
1746223200000,0.18094,0.18147,0.18059,0.18096,7422009.458649
1746226800000,0.18096,0.18156,0.18081,0.1815,4202348.585762
1746230400000,0.1815,0.18218,0.18104,0.18134,11100577.682219
1746234000000,0.18135,0.18151,0.18,0.18026,24533959.287782
1746237600000,0.18026,0.18167,0.18021,0.18113,5787254.713182
1746241200000,0.18114,0.18166,0.1803,0.18032,8434148.762216
1746244800000,0.18034,0.18094,0.18008,0.1806,12405505.76511
1746248400000,0.1806,0.18067,0.18002,0.18006,2513645.440483
1746252000000,0.18006,0.18011,0.17842,0.1788,15586445.506925
1746255600000,0.1788,0.17928,0.17832,0.17895,9719997.690891
1746259200000,0.17895,0.17967,0.17845,0.17916,5815856.675037
1746262800000,0.17916,0.17956,0.17875,0.17942,4927206.516721
1746266400000,0.17943,0.17945,0.17738,0.17753,12839587.227324
1746270000000,0.17754,0.17856,0.17741,0.1781,12791042.674588
1746273600000,0.1781,0.17879,0.17783,0.17846,4407653.150639
1746277200000,0.17848,0.179,0.17835,0.17881,4126756.941928
1746280800000,0.17877,0.17905,0.17801,0.17868,8189372.245476
1746284400000,0.1787,0.17956,0.17835,0.17853,5011986.02314
1746288000000,0.17855,0.17858,0.17639,0.17714,13494640.148037
1746291600000,0.17716,0.17729,0.17532,0.17654,20298054.955283
1746295200000,0.17654,0.17736,0.17593,0.17626,7692549.322671
1746298800000,0.17625,0.1776,0.17595,0.17753,4054570.860388
1746302400000,0.17754,0.17761,0.17658,0.17673,6047040.188252
1746306000000,0.17674,0.17733,0.17613,0.17648,6944633.256384
1746309600000,0.17649,0.17699,0.17617,0.17641,2933157.966055
1746313200000,0.17641,0.17641,0.17527,0.17569,13751247.648844
1746316800000,0.17566,0.17647,0.17475,0.17525,15253710.98257
1746320400000,0.17521,0.17645,0.17476,0.17618,6003772.332358
1746324000000,0.17621,0.17741,0.17573,0.17594,11684624.658208
1746327600000,0.17594,0.1761,0.17515,0.1752,7774335.310131
1746331200000,0.1752,0.17577,0.17442,0.17484,7967794.232167
1746334800000,0.1748,0.17637,0.1747,0.17607,6538927.568937
1746338400000,0.17608,0.17659,0.17531,0.17575,8100817.123951
1746342000000,0.17575,0.17586,0.17453,0.17522,6882781.040357
1746345600000,0.17524,0.17534,0.174,0.17426,10521709.824782
1746349200000,0.17421,0.1745,0.17365,0.17392,8153047.759166
1746352800000,0.17395,0.17452,0.17338,0.17418,8889508.672331
1746356400000,0.17417,0.17508,0.1739,0.17415,7204880.196863
1746360000000,0.17415,0.17476,0.17366,0.17367,8729028.643833
1746363600000,0.17368,0.17409,0.17231,0.17314,16668570.639372
1746367200000,0.17315,0.17424,0.17305,0.17408,8336558.12012
1746370800000,0.17408,0.17437,0.1728,0.17376,12547631.32709
1746374400000,0.17374,0.1741,0.17176,0.17219,21465245.218725
1746378000000,0.17218,0.1727,0.17137,0.17242,10428829.385922
1746381600000,0.17243,0.1729,0.17164,0.17165,4509834.876928
1746385200000,0.17168,0.17256,0.17146,0.17203,4477863.199469
1746388800000,0.17206,0.17309,0.17199,0.1729,3317808.89744
1746392400000,0.17294,0.17299,0.1717,0.17283,7820506.832279
1746396000000,0.1728,0.17284,0.17028,0.1709,14908410.76192
1746399600000,0.17086,0.17118,0.16983,0.17055,19130276.812196
1746403200000,0.17053,0.17177,0.17032,0.17153,9630036.694923
1746406800000,0.17154,0.17168,0.16838,0.16975,20894655.099658
1746410400000,0.16975,0.1716,0.16871,0.171,17530952.764882
1746414000000,0.171,0.17129,0.17033,0.17038,6840416.072838
1746417600000,0.17039,0.1722,0.17027,0.17214,9715140.301798
1746421200000,0.17213,0.17375,0.17197,0.17366,10071355.144515
1746424800000,0.17367,0.17402,0.17303,0.1734,10227323.240798
1746428400000,0.17336,0.1736,0.17286,0.1736,5504226.885057
1746432000000,0.1736,0.17414,0.17336,0.17377,6914586.848734
1746435600000,0.17377,0.17466,0.17358,0.17392,6083151.087706
1746439200000,0.17392,0.17396,0.17053,0.17121,17152864.879494
1746442800000,0.17125,0.17198,0.17021,0.171,12245757.827489
1746446400000,0.171,0.1717,0.17034,0.1708,9061797.117191
1746450000000,0.17079,0.17129,0.16894,0.17066,16587436.097738
1746453600000,0.17067,0.17153,0.16968,0.17016,14162627.175987
1746457200000,0.17015,0.17048,0.16856,0.16898,17102941.755178
1746460800000,0.16899,0.17056,0.16881,0.16981,11842735.342784
1746464400000,0.1698,0.17131,0.16952,0.17114,8214989.528605
1746468000000,0.17114,0.1726,0.17088,0.17204,12443504.745007
1746471600000,0.17204,0.17257,0.17065,0.17085,11209051.330976
1746475200000,0.17087,0.17088,0.16826,0.16955,12588485.431628
1746478800000,0.16958,0.1709,0.16945,0.17054,10841344.71727
1746482400000,0.1705,0.17232,0.1705,0.17166,11540638.314761
1746486000000,0.17165,0.17186,0.17045,0.17062,7260897.666998
1746489600000,0.17062,0.17085,0.16963,0.17021,9100704.15082
1746493200000,0.17026,0.17117,0.16881,0.16885,9652019.022539
1746496800000,0.16887,0.16921,0.167,0.1686,45340450.978115
1746500400000,0.16858,0.17003,0.16805,0.1698,22402326.720416
1746504000000,0.16983,0.17036,0.16928,0.17017,7717202.255834
1746507600000,0.17018,0.17027,0.16878,0.16886,7457699.041861
1746511200000,0.16886,0.16958,0.16883,0.16954,5276383.010164
1746514800000,0.16955,0.17023,0.16891,0.16932,10227856.204659
1746518400000,0.16935,0.16935,0.16631,0.16835,31926239.260741
1746522000000,0.16835,0.16864,0.16658,0.16749,13862940.881556
1746525600000,0.1675,0.1675,0.16523,0.1656,23373091.673047
1746529200000,0.16558,0.16635,0.16448,0.1653,20081426.191992
1746532800000,0.16536,0.16638,0.16507,0.16615,9099203.905352
1746536400000,0.16614,0.16623,0.16424,0.16499,16934385.659185
1746540000000,0.16496,0.16819,0.16496,0.16632,26021704.553638
1746543600000,0.16631,0.16786,0.16559,0.16666,19119264.271531
1746547200000,0.16668,0.16724,0.16569,0.16572,11001379.318989
1746550800000,0.16572,0.16796,0.16561,0.16708,17491640.649327
1746554400000,0.16709,0.16949,0.16696,0.1694,12508882.779931
1746558000000,0.16941,0.16979,0.1687,0.16885,6544684.408793
1746561600000,0.1689,0.16979,0.16777,0.16832,9231725.321539
1746565200000,0.16833,0.1694,0.16718,0.16839,12766370.567508
1746568800000,0.16836,0.17162,0.16829,0.17148,29545863.942992
1746572400000,0.17149,0.17258,0.17072,0.1722,29283332.575355
1746576000000,0.17221,0.17441,0.1718,0.17347,27513568.057001
1746579600000,0.17345,0.17446,0.17289,0.17314,20982274.041691
1746583200000,0.17313,0.17322,0.17098,0.17128,27273443.491595
1746586800000,0.17128,0.17193,0.17021,0.17186,15338628.377168
1746590400000,0.17187,0.17257,0.17181,0.17232,11348533.43528
1746594000000,0.17233,0.17239,0.1715,0.17172,6215760.043152
1746597600000,0.17171,0.17256,0.17164,0.17242,3789493.758752
1746601200000,0.17243,0.17341,0.17242,0.17328,6908417.099299
1746604800000,0.17328,0.17357,0.17288,0.17334,7886893.147091
1746608400000,0.17339,0.174,0.1732,0.17388,10932991.442607
1746612000000,0.17389,0.17397,0.17293,0.17387,9415844.02913
1746615600000,0.17388,0.17395,0.17311,0.17335,4024533.209564
1746619200000,0.17338,0.17355,0.17243,0.1728,13157949.480995
1746622800000,0.1728,0.173,0.17171,0.1724,10189756.433218
1746626400000,0.17243,0.1731,0.17155,0.17188,9831266.118203
1746630000000,0.17188,0.17194,0.17056,0.17083,13537122.46052
1746633600000,0.17083,0.17152,0.16927,0.17121,17058782.289973
1746637200000,0.1712,0.17173,0.17043,0.171,11936050.817628
1746640800000,0.171,0.17264,0.16939,0.17102,36171926.275553
1746644400000,0.17102,0.17131,0.169,0.1699,11708219.799093
1746648000000,0.1699,0.17045,0.16922,0.17038,8261188.778144
1746651600000,0.17039,0.17235,0.17015,0.1717,11554037.40152
1746655200000,0.17173,0.17259,0.17149,0.17212,9398676.160846
1746658800000,0.17213,0.17295,0.17177,0.17205,7626320.227321
1746662400000,0.17202,0.17383,0.17171,0.17364,13274354.644607
1746666000000,0.17361,0.17575,0.1736,0.17406,43774681.338779
1746669600000,0.1741,0.17722,0.1741,0.17696,30099867.906307
1746673200000,0.17697,0.17953,0.1766,0.17945,41428265.070892
1746676800000,0.17948,0.18277,0.17947,0.17973,71649383.739103
1746680400000,0.17974,0.18071,0.17954,0.17991,15168917.543068
1746684000000,0.17991,0.18099,0.17989,0.18096,11674839.551442
1746687600000,0.18096,0.18275,0.18089,0.18149,22937241.551882
1746691200000,0.18149,0.18328,0.1814,0.18231,36472524.754915
