ts,o,h,l,c,v
1746054000000,1795.31,1799.5,1792.0,1793.44,3469.113286
1746057600000,1793.41,1798.99,1792.41,1797.68,2575.139198
1746061200000,1797.68,1810.71,1797.68,1809.96,21210.119833
1746064800000,1810.0,1819.0,1806.2,1807.59,7503.921581
1746068400000,1807.6,1814.21,1805.27,1807.96,5594.080139
1746072000000,1807.96,1810.4,1803.99,1809.08,2237.121358
1746075600000,1809.09,1817.12,1805.61,1813.75,4237.30524
1746079200000,1813.75,1815.92,1805.01,1806.26,3909.86906
1746082800000,1806.26,1814.76,1802.28,1810.39,4925.593463
1746086400000,1810.4,1820.66,1808.47,1817.5,6321.813696
1746090000000,1817.51,1824.43,1814.64,1817.35,5431.538442
1746093600000,1817.38,1850.97,1817.38,1847.63,23795.708281
1746097200000,1847.69,1859.1,1838.1,1845.72,13678.857689
1746100800000,1845.59,1855.42,1841.68,1848.98,9177.814104
1746104400000,1848.98,1851.86,1825.09,1826.59,20065.724966
1746108000000,1826.7,1849.64,1826.7,1848.5,13405.830748
1746111600000,1848.51,1873.85,1844.59,1853.01,28322.796108
1746115200000,1853.02,1870.47,1852.14,1859.73,9313.480827
1746118800000,1859.71,1865.0,1846.18,1856.0,6481.78633
1746122400000,1856.0,1858.66,1847.68,1856.05,3678.793141
1746126000000,1856.05,1856.25,1839.0,1843.08,5214.529413
1746129600000,1843.09,1851.39,1837.32,1839.69,5460.147155
1746133200000,1839.64,1849.95,1839.45,1844.08,3159.747077
1746136800000,1844.1,1846.22,1837.61,1838.9,3065.471732
1746140400000,1838.9,1841.46,1833.63,1838.18,2855.584581
1746144000000,1838.13,1850.72,1835.26,1847.89,6218.377693
1746147600000,1847.88,1851.58,1839.23,1842.8,3553.666715
1746151200000,1842.8,1849.99,1839.21,1846.95,3111.310468
1746154800000,1846.98,1851.06,1843.68,1847.68,2052.12343
1746158400000,1847.68,1851.6,1839.44,1841.6,3168.827093
1746162000000,1841.68,1844.36,1828.66,1832.11,5087.536996
1746165600000,1832.1,1837.67,1828.33,1832.36,5718.643155
1746169200000,1832.39,1832.4,1816.26,1816.31,13892.819079
1746172800000,1816.31,1827.01,1813.0,1823.8,6096.049888
1746176400000,1823.8,1827.44,1820.13,1820.68,2287.431956
1746180000000,1820.68,1835.28,1820.52,1829.5,7974.32003
1746183600000,1829.52,1835.54,1829.52,1833.32,3474.65746
1746187200000,1833.41,1844.68,1823.08,1841.0,12443.58191
1746190800000,1841.01,1842.6,1829.16,1833.49,10227.043666
1746194400000,1833.5,1851.82,1833.5,1848.7,8669.290251
1746198000000,1848.71,1854.27,1832.51,1841.08,5912.573074
1746201600000,1841.06,1871.0,1841.06,1852.11,14688.817565
1746205200000,1852.51,1853.69,1841.3,1852.41,4508.82642
1746208800000,1852.42,1855.65,1845.39,1848.9,4545.309243
1746212400000,1848.9,1850.54,1831.5,1839.69,5645.872575
1746216000000,1839.7,1848.01,1835.61,1846.76,2716.308817
1746219600000,1846.74,1846.88,1833.02,1837.64,2671.510836
1746223200000,1837.61,1840.06,1833.0,1835.31,2296.53059
1746226800000,1835.36,1842.74,1834.46,1842.13,2035.651261
1746230400000,1842.16,1843.26,1836.0,1838.75,3656.298418
1746234000000,1838.71,1840.45,1826.17,1829.0,4817.690324
1746237600000,1829.09,1835.99,1828.65,1834.13,1762.28998
1746241200000,1834.13,1837.77,1831.11,1834.77,1487.447575
1746244800000,1834.78,1839.52,1833.65,1838.4,1433.014188
1746248400000,1838.38,1838.62,1832.92,1833.2,1498.587471
1746252000000,1833.21,1833.39,1824.5,1827.38,4169.78874
1746255600000,1827.38,1829.8,1825.0,1826.59,3115.246413
1746259200000,1826.59,1830.0,1822.01,1825.5,2903.892787
1746262800000,1825.5,1828.81,1819.48,1827.23,6346.073051
1746266400000,1827.21,1830.51,1817.52,1819.5,4872.313492
1746270000000,1819.5,1826.47,1818.28,1824.07,2357.446063
1746273600000,1824.14,1832.64,1824.0,1829.52,5343.0866
1746277200000,1829.52,1836.9,1829.02,1835.15,13312.547055
1746280800000,1835.14,1837.14,1831.11,1835.11,2621.16025
1746284400000,1835.16,1839.98,1832.92,1834.5,2525.619833
1746288000000,1834.51,1835.25,1823.41,1827.18,3607.207255
1746291600000,1827.19,1827.33,1808.8,1823.7,23106.959396
1746295200000,1823.7,1831.0,1822.51,1825.78,2204.654611
1746298800000,1825.78,1839.0,1824.34,1838.11,2191.724817
1746302400000,1838.2,1839.7,1834.55,1838.79,3505.602439
1746306000000,1838.8,1848.73,1836.15,1840.99,5558.174095
1746309600000,1841.0,1845.6,1835.7,1842.87,2284.822962
1746313200000,1842.88,1843.29,1828.8,1833.49,9867.087866
1746316800000,1833.49,1842.2,1829.9,1836.55,5781.824845
1746320400000,1836.51,1841.4,1829.3,1837.5,3329.143007
1746324000000,1837.5,1849.6,1830.21,1834.22,4843.071903
1746327600000,1834.2,1836.61,1826.67,1832.21,2684.936453
1746331200000,1832.16,1837.49,1829.47,1830.7,1996.189198
1746334800000,1830.75,1849.97,1830.08,1845.67,6655.278685
1746338400000,1845.67,1849.2,1839.45,1845.35,4264.062397
1746342000000,1845.36,1846.7,1836.34,1840.99,3260.524801
1746345600000,1840.99,1841.39,1829.71,1831.21,4118.009824
1746349200000,1831.21,1832.71,1823.27,1827.9,4054.71047
1746352800000,1827.9,1829.59,1822.1,1827.38,2822.274389
1746356400000,1827.37,1836.55,1825.61,1827.52,4901.398466
1746360000000,1827.52,1834.25,1827.01,1830.25,1992.322865
1746363600000,1830.32,1833.2,1818.38,1825.3,4175.133716
1746367200000,1825.29,1832.53,1824.38,1831.04,1951.050313
1746370800000,1831.01,1833.79,1825.52,1830.67,2133.945499
1746374400000,1830.74,1833.2,1822.8,1827.85,2968.864691
1746378000000,1827.99,1831.57,1822.1,1827.9,2100.21525
1746381600000,1827.9,1830.89,1825.47,1825.93,1846.575011
1746385200000,1825.94,1831.11,1824.74,1828.41,1350.367576
1746388800000,1828.41,1842.55,1828.11,1836.15,3422.343428
1746392400000,1836.16,1837.32,1831.97,1835.26,1767.80235
1746396000000,1835.27,1835.3,1811.61,1818.01,7018.647209
1746399600000,1818.01,1819.23,1803.05,1808.88,7594.924227
1746403200000,1808.89,1818.59,1806.31,1816.0,4720.084864
1746406800000,1816.0,1817.44,1781.42,1791.72,15576.051157
1746410400000,1791.72,1802.77,1781.97,1799.33,18384.934368
1746414000000,1799.34,1801.08,1793.1,1794.51,3922.671257
1746417600000,1794.55,1805.5,1792.7,1804.91,3523.556365
1746421200000,1804.9,1818.76,1801.21,1816.62,7312.729687
1746424800000,1816.61,1821.99,1811.64,1820.05,6755.16389
1746428400000,1820.02,1829.92,1816.64,1826.59,5071.671181
1746432000000,1826.59,1831.7,1823.4,1828.5,9712.413943
1746435600000,1828.49,1830.79,1822.59,1823.34,3574.43946
1746439200000,1823.34,1823.91,1798.3,1804.65,11680.417597
1746442800000,1804.75,1811.09,1799.01,1804.67,12163.382667
1746446400000,1804.7,1809.53,1799.81,1805.68,4041.219564
1746450000000,1805.67,1809.39,1794.41,1808.87,10443.536603
1746453600000,1808.84,1815.8,1799.22,1804.51,6507.60569
1746457200000,1804.5,1808.44,1795.31,1801.18,5385.236262
1746460800000,1801.19,1812.2,1800.91,1808.02,6851.333566
1746464400000,1808.03,1817.51,1805.25,1814.49,4707.722706
1746468000000,1814.5,1828.78,1811.86,1822.57,4378.99966
1746471600000,1822.56,1826.56,1813.41,1816.49,3573.168553
1746475200000,1816.5,1816.69,1799.19,1808.95,3068.613378
1746478800000,1808.98,1819.82,1808.21,1816.47,2732.184856
1746482400000,1816.46,1833.64,1816.24,1826.1,8100.869802
1746486000000,1826.1,1830.14,1817.0,1820.31,4046.797051
1746489600000,1820.32,1820.88,1811.0,1814.39,3020.935826
1746493200000,1814.39,1820.97,1803.34,1804.52,5559.741387
1746496800000,1804.5,1807.76,1792.72,1803.67,12683.99369
1746500400000,1803.67,1807.56,1798.0,1806.53,3464.930783
1746504000000,1806.65,1808.99,1803.62,1807.11,2546.654168
1746507600000,1807.11,1808.22,1798.29,1799.3,4648.248884
1746511200000,1799.3,1806.59,1798.74,1806.5,2147.960769
1746514800000,1806.5,1809.46,1801.19,1805.93,5818.75845
1746518400000,1805.94,1805.99,1788.33,1801.55,5695.789442
1746522000000,1801.52,1801.86,1792.17,1798.15,2411.492095
1746525600000,1798.15,1798.2,1782.6,1785.36,6233.471261
1746529200000,1785.36,1790.71,1757.4,1770.12,16196.345388
1746532800000,1770.18,1777.09,1766.89,1775.43,6609.90105
1746536400000,1775.42,1776.0,1751.45,1759.05,19751.120068
1746540000000,1759.05,1779.97,1759.05,1768.6,10001.084061
1746543600000,1768.5,1778.8,1760.59,1770.19,5682.523075
1746547200000,1770.3,1775.39,1762.14,1762.94,7107.215982
1746550800000,1762.95,1776.49,1762.9,1768.15,4366.608367
1746554400000,1768.16,1791.39,1766.7,1789.93,5143.089448
1746558000000,1789.91,1798.88,1784.31,1784.74,8858.892717
1746561600000,1784.8,1789.2,1768.28,1775.31,6552.718369
1746565200000,1775.26,1781.08,1765.0,1775.88,4868.911292
1746568800000,1775.79,1813.38,1775.52,1811.12,16408.36708
1746572400000,1811.1,1819.34,1801.88,1817.0,9602.181223
1746576000000,1817.0,1847.51,1814.41,1842.34,22785.614969
1746579600000,1842.27,1850.61,1828.46,1832.81,15764.283918
1746583200000,1832.81,1835.35,1822.0,1825.03,13555.422569
1746586800000,1825.02,1828.56,1817.31,1826.48,7813.423916
1746590400000,1826.52,1833.51,1824.43,1828.59,4822.864816
1746594000000,1828.6,1830.94,1825.62,1828.41,2455.931932
1746597600000,1828.41,1834.5,1826.41,1830.75,3336.398044
1746601200000,1830.72,1838.47,1830.19,1838.27,4795.871366
1746604800000,1838.27,1844.3,1834.31,1840.59,12426.83929
1746608400000,1840.59,1845.38,1837.71,1843.94,5504.173309
1746612000000,1843.94,1847.0,1830.35,1833.49,9629.879583
1746615600000,1833.51,1837.3,1831.0,1836.54,4328.259719
1746619200000,1836.45,1837.16,1826.93,1830.87,5088.504849
1746622800000,1830.88,1835.13,1822.63,1828.98,6545.118857
1746626400000,1829.0,1833.39,1816.71,1822.39,6959.255177
1746630000000,1822.4,1825.5,1814.61,1817.72,5043.277579
1746633600000,1817.73,1818.3,1800.14,1812.09,9993.823725
1746637200000,1812.1,1813.45,1788.74,1796.27,14491.034639
1746640800000,1796.39,1817.23,1788.78,1806.55,16100.303278
1746644400000,1806.6,1808.24,1787.16,1795.91,7659.471745
1746648000000,1795.98,1801.02,1789.05,1798.4,3366.385395
1746651600000,1798.42,1809.41,1796.26,1802.6,2903.176046
1746655200000,1802.61,1821.72,1800.61,1817.0,10268.336896
1746658800000,1817.01,1825.8,1808.31,1811.0,4883.899453
1746662400000,1811.01,1828.44,1808.35,1826.72,4038.707048
1746666000000,1826.65,1837.45,1819.57,1822.69,13536.600837
1746669600000,1822.76,1847.74,1822.76,1841.31,19416.661339
1746673200000,1841.31,1907.23,1838.63,1900.65,53869.981665
1746676800000,1900.65,1916.82,1892.3,1893.68,45605.503878
1746680400000,1893.75,1904.6,1892.16,1896.66,18197.273778
1746684000000,1896.61,1911.99,1895.85,1911.08,10408.121196
1746687600000,1911.09,1944.44,1908.29,1928.62,27070.26569
1746691200000,1928.61,1947.56,1926.09,1935.11,16233.074992
1746694800000,1935.11,1941.9,1930.0,1941.26,8949.28494
1746698400000,1941.21,1968.42,1939.18,1960.95,16859.313625
1746702000000,1960.84,1961.6,1945.28,1957.59,14168.096986
1746705600000,1957.59,1977.43,1954.46,1959.76,20170.264536
1746709200000,1959.8,1984.92,1959.53,1976.02,16005.061313
1746712800000,1976.15,2010.72,1969.0,1989.47,29612.363311
1746716400000,1989.5,2076.66,1987.61,2051.62,91863.613063
1746720000000,2051.6,2066.0,2036.31,2050.51,18918.805184
1746723600000,2050.5,2057.51,2036.75,2045.99,10325.316482
1746727200000,2045.99,2074.4,2043.76,2067.42,14618.665239
1746730800000,2067.32,2141.25,2061.14,2118.25,49287.463239
1746734400000,2118.19,2200.0,2111.52,2185.39,41562.252011
1746738000000,2185.21,2226.47,2157.93,2179.91,33201.745865
1746741600000,2179.92,2196.44,2166.66,2179.6,17457.46444
1746745200000,2179.61,2208.58,2166.46,2207.27,15135.262728
1746748800000,2207.2,2214.9,2184.58,2201.01,13441.251751
1746752400000,2201.0,2244.1,2190.0,2207.19,28332.052396
1746756000000,2207.01,2217.13,2194.18,2216.59,14429.880642
1746759600000,2216.6,2245.0,2197.24,2205.31,34458.896779
1746763200000,2205.31,2222.86,2202.39,2213.87,7747.584867
1746766800000,2213.87,2219.98,2205.54,2215.0,6120.479553
1746770400000,2215.0,2260.0,2214.31,2256.94,30026.298512
1746774000000,2256.92,2393.84,2256.11,2364.4,70896.866032
1746777600000,2364.39,2490.84,2362.0,2411.62,102755.523129
1746781200000,2411.97,2423.97,2291.66,2341.45,65458.385998
1746784800000,2341.6,2359.59,2329.16,2348.7,17888.458248
1746788400000,2348.7,2376.66,2313.37,2351.09,28041.615372
1746792000000,2351.1,2353.07,2326.01,2339.99,9334.468996
1746795600000,2340.0,2388.52,2329.02,2370.0,19820.417738
1746799200000,2369.91,2369.91,2270.47,2306.04,58923.744435
1746802800000,2306.05,2322.03,2282.27,2301.49,23741.268602
1746806400000,2301.49,2316.63,2275.0,2298.36,14392.043285
1746810000000,2298.31,2355.8,2294.9,2350.31,17305.352056
1746813600000,2350.3,2353.56,2328.34,2340.3,8699.243379
1746817200000,2340.31,2344.6,2307.5,2332.62,9287.635066
1746820800000,2332.17,2352.08,2326.7,2340.16,6689.212268
1746824400000,2340.17,2343.43,2322.52,2337.99,4075.970505
1746828000000,2338.0,2345.92,2327.52,2334.7,4679.478534
1746831600000,2334.69,2348.33,2333.51,2345.18,3983.202147
1746835200000,2345.19,2380.79,2317.29,2326.75,31853.412018
1746838800000,2326.79,2354.59,2326.01,2335.23,6797.690817
1746842400000,2335.3,2349.52,2333.01,2342.09,3433.816329
1746846000000,2342.09,2342.88,2331.38,2340.1,4047.56212
1746849600000,2340.11,2340.11,2326.9,2337.33,6696.459995
1746853200000,2337.3,2356.0,2337.3,2353.49,9995.698643
