ts,o,h,l,c,v
1746054000000,147.14,148.11,146.95,147.53,32146.239393
1746057600000,147.54,148.46,147.54,147.94,26408.371746
1746061200000,147.95,149.0,147.95,148.92,28048.27234
1746064800000,148.92,149.59,148.51,148.68,68729.811219
1746068400000,148.68,149.22,148.37,148.71,23358.127596
1746072000000,148.7,149.05,148.0,148.55,18671.509244
1746075600000,148.55,149.45,148.27,149.13,22718.010258
1746079200000,149.14,149.28,148.22,148.69,17629.424897
1746082800000,148.67,150.22,148.41,149.76,32752.898536
1746086400000,149.77,150.99,149.55,150.72,35825.33714
1746090000000,150.73,151.8,150.31,151.16,44189.988377
1746093600000,151.16,152.19,151.16,152.0,45529.494244
1746097200000,151.99,152.46,151.43,151.73,40092.354299
1746100800000,151.73,152.27,151.22,152.04,31372.698506
1746104400000,152.05,152.55,150.59,150.61,86316.122933
1746108000000,150.61,153.17,150.61,153.03,68008.901483
1746111600000,153.01,153.97,151.57,151.81,98467.46854
1746115200000,151.81,152.84,151.61,151.64,30359.242661
1746118800000,151.65,152.71,151.0,151.29,51337.029982
1746122400000,151.29,151.4,150.07,151.1,50052.761981
1746126000000,151.12,151.16,150.15,150.26,30572.959034
1746129600000,150.26,150.8,149.88,150.21,38955.037552
1746133200000,150.21,150.96,150.19,150.51,10354.193438
1746136800000,150.52,150.75,150.05,150.23,13920.426954
1746140400000,150.25,150.91,149.97,150.85,12632.159629
1746144000000,150.84,151.69,150.53,151.46,18964.767143
1746147600000,151.44,151.72,150.14,150.54,24598.48996
1746151200000,150.54,151.0,150.08,150.63,23951.250765
1746154800000,150.63,150.93,150.14,150.79,23505.037426
1746158400000,150.8,151.05,150.14,150.19,25905.020664
1746162000000,150.18,150.36,149.4,149.53,33850.918514
1746165600000,149.52,149.78,148.58,149.0,27593.63588
1746169200000,148.99,149.19,148.37,148.54,24751.761503
1746172800000,148.54,149.64,148.42,149.34,13198.681727
1746176400000,149.34,149.82,149.13,149.48,8953.714996
1746180000000,149.49,150.31,149.46,149.93,11272.34602
1746183600000,149.94,150.8,149.93,150.7,14189.393208
1746187200000,150.71,150.99,149.36,150.95,37739.529787
1746190800000,150.95,150.99,150.14,150.58,32070.689539
1746194400000,150.58,151.92,150.56,151.57,38020.989061
1746198000000,151.57,151.78,149.63,149.9,32377.770604
1746201600000,149.91,151.41,149.91,150.17,27158.612302
1746205200000,150.19,150.31,149.48,149.84,25579.68503
1746208800000,149.84,150.52,149.5,149.52,21484.832601
1746212400000,149.5,149.53,147.73,148.08,50140.748123
1746216000000,148.1,148.41,147.4,148.29,29607.94723
1746219600000,148.28,148.67,147.33,147.71,24310.321999
1746223200000,147.72,147.92,147.34,147.76,15443.588518
1746226800000,147.75,148.12,147.64,148.06,11416.265984
1746230400000,148.06,148.47,147.73,148.12,19353.012029
1746234000000,148.12,148.23,147.53,148.04,14054.664619
1746237600000,148.05,149.0,148.0,148.75,17989.350221
1746241200000,148.78,149.06,148.05,148.29,13985.618581
1746244800000,148.29,148.57,148.11,148.13,8967.953982
1746248400000,148.12,148.18,147.62,147.78,12504.200919
1746252000000,147.79,147.93,147.44,147.87,13853.007551
1746255600000,147.87,148.2,147.41,148.14,10584.131067
1746259200000,148.14,148.39,147.68,147.93,11928.422731
1746262800000,147.94,148.01,146.95,147.28,22704.830608
1746266400000,147.3,147.66,146.7,146.82,24361.200092
1746270000000,146.82,147.42,146.79,147.15,13915.107199
1746273600000,147.14,148.12,147.14,148.09,15383.853432
1746277200000,148.09,148.57,148.06,148.43,18903.91197
1746280800000,148.42,148.82,148.07,148.49,11992.924187
1746284400000,148.49,149.0,148.36,148.44,21297.468575
1746288000000,148.45,148.46,147.27,147.39,22326.121489
1746291600000,147.38,147.39,145.85,146.79,34765.480227
1746295200000,146.8,147.4,146.46,146.72,13699.838721
1746298800000,146.7,147.51,146.55,147.45,10401.123077
1746302400000,147.46,147.8,147.2,147.52,12270.29424
1746306000000,147.52,147.92,146.94,147.63,13306.174685
1746309600000,147.64,147.76,147.31,147.41,9439.728098
1746313200000,147.41,147.41,146.65,146.74,10690.566038
1746316800000,146.74,147.13,146.03,146.43,24366.536983
1746320400000,146.43,147.22,145.9,147.05,15805.85335
1746324000000,147.06,147.71,146.06,146.33,14782.346506
1746327600000,146.33,146.33,145.52,145.64,19050.643121
1746331200000,145.64,145.95,145.24,145.46,18523.161506
1746334800000,145.46,146.55,145.37,146.26,21121.857803
1746338400000,146.27,146.4,145.6,145.69,13568.604464
1746342000000,145.7,146.05,145.19,145.66,17039.346196
1746345600000,145.67,145.97,145.09,145.32,11184.977622
1746349200000,145.33,145.33,144.69,144.92,29417.071513
1746352800000,144.95,145.59,144.78,145.44,13365.058807
1746356400000,145.42,145.99,145.19,145.44,13766.429182
